Measure,Dependent Measure
6e922708-ea0c-487b-9fc9-8a2f69bb6cb7,cc57504e-067e-45f7-9503-f380d1f9e193
628cfdc9-162a-4637-8ff7-e4a2c6ea2576,cc57504e-067e-45f7-9503-f380d1f9e193
30cf5874-a4ca-4204-9737-a4c1975717ad,cc57504e-067e-45f7-9503-f380d1f9e193
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,cc57504e-067e-45f7-9503-f380d1f9e193
985b501e-7566-4882-88c8-44ef731b2806,cc57504e-067e-45f7-9503-f380d1f9e193
cc57504e-067e-45f7-9503-f380d1f9e193,f6e52c41-ec27-432a-8f1a-f065b8c9ba91
f6e52c41-ec27-432a-8f1a-f065b8c9ba91,faf7f012-7e59-44e3-af0f-e201d5bc2ff4
9246cced-a8cf-48b7-a031-cf69ac45718f,faf7f012-7e59-44e3-af0f-e201d5bc2ff4
5394e6e5-3eea-4691-bf27-09321d56bb90,1a2eb195-e8d5-4bf1-9ba8-e6d3a17a16ee
5394e6e5-3eea-4691-bf27-09321d56bb90,09919e86-de1d-47c7-931d-c1abdf075ec3
1a2eb195-e8d5-4bf1-9ba8-e6d3a17a16ee,09919e86-de1d-47c7-931d-c1abdf075ec3
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,6e922708-ea0c-487b-9fc9-8a2f69bb6cb7
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,9246cced-a8cf-48b7-a031-cf69ac45718f
09919e86-de1d-47c7-931d-c1abdf075ec3,8ae34724-8d79-43dd-b1e1-2ee63916cba3
1a2eb195-e8d5-4bf1-9ba8-e6d3a17a16ee,8ae34724-8d79-43dd-b1e1-2ee63916cba3
cc57504e-067e-45f7-9503-f380d1f9e193,54c9cc75-f342-48fd-9e70-59335fca7dfd
54c9cc75-f342-48fd-9e70-59335fca7dfd,d1833e2b-8b5f-4457-88da-67c4a549a617
cc57504e-067e-45f7-9503-f380d1f9e193,d1833e2b-8b5f-4457-88da-67c4a549a617
d1833e2b-8b5f-4457-88da-67c4a549a617,c0b1bcb5-0e0b-4b7d-8c59-5534a0ab5865
54c9cc75-f342-48fd-9e70-59335fca7dfd,c0b1bcb5-0e0b-4b7d-8c59-5534a0ab5865
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,cb2861f0-490e-470b-844c-0fd3bc7a3765
6e922708-ea0c-487b-9fc9-8a2f69bb6cb7,cb2861f0-490e-470b-844c-0fd3bc7a3765
6e922708-ea0c-487b-9fc9-8a2f69bb6cb7,ee64e18a-e8f3-4f87-95a3-1262287437cb
11805bf1-fd6b-4fc4-8b1a-37906fef9e52,68e92731-19ab-477b-9647-f282438480ab
ee64e18a-e8f3-4f87-95a3-1262287437cb,68e92731-19ab-477b-9647-f282438480ab
6e922708-ea0c-487b-9fc9-8a2f69bb6cb7,11805bf1-fd6b-4fc4-8b1a-37906fef9e52
ee64e18a-e8f3-4f87-95a3-1262287437cb,11805bf1-fd6b-4fc4-8b1a-37906fef9e52
fc9fa984-ec61-4ca2-a8ac-f1744cf09819,d3f88324-f56b-40a0-84ea-42339329a99a
d3f88324-f56b-40a0-84ea-42339329a99a,8e040e55-c4ba-4c8f-9467-3acd4ca188b8
fc9fa984-ec61-4ca2-a8ac-f1744cf09819,8e040e55-c4ba-4c8f-9467-3acd4ca188b8
8e040e55-c4ba-4c8f-9467-3acd4ca188b8,08cdfae7-bbab-4abf-a5f4-b94682f70a40
d3f88324-f56b-40a0-84ea-42339329a99a,08cdfae7-bbab-4abf-a5f4-b94682f70a40
cb2861f0-490e-470b-844c-0fd3bc7a3765,0244078c-f9cb-4afb-a75c-dd8ac6674aca
cb2861f0-490e-470b-844c-0fd3bc7a3765,ca06d631-bece-4218-9511-482038a7751f
0244078c-f9cb-4afb-a75c-dd8ac6674aca,ca06d631-bece-4218-9511-482038a7751f
ca06d631-bece-4218-9511-482038a7751f,94547eb4-1760-4992-a74a-7a2c2da25def
0244078c-f9cb-4afb-a75c-dd8ac6674aca,94547eb4-1760-4992-a74a-7a2c2da25def
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,83855840-5302-4dfe-94ca-c02a75892072
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,4485e6e0-acd7-4ca5-b871-c000b2fae0b9
83855840-5302-4dfe-94ca-c02a75892072,4485e6e0-acd7-4ca5-b871-c000b2fae0b9
4485e6e0-acd7-4ca5-b871-c000b2fae0b9,b4404662-ce62-4fa9-b65a-c6a1e9ddc5c1
83855840-5302-4dfe-94ca-c02a75892072,b4404662-ce62-4fa9-b65a-c6a1e9ddc5c1
faf7f012-7e59-44e3-af0f-e201d5bc2ff4,15a63b54-3fea-44a4-a466-6e84bf6613cf
15a63b54-3fea-44a4-a466-6e84bf6613cf,f5faa70e-58c6-469f-8008-3022eba7ca2f
faf7f012-7e59-44e3-af0f-e201d5bc2ff4,f5faa70e-58c6-469f-8008-3022eba7ca2f
f5faa70e-58c6-469f-8008-3022eba7ca2f,6d626cb9-9882-4ad6-ad7b-cbdf90501160
15a63b54-3fea-44a4-a466-6e84bf6613cf,6d626cb9-9882-4ad6-ad7b-cbdf90501160
cc57504e-067e-45f7-9503-f380d1f9e193,4d292ca9-e2dc-4820-80be-486283460bf2
fc9fa984-ec61-4ca2-a8ac-f1744cf09819,e35b72f0-e66c-4882-a87b-fc58ac187d96
faf7f012-7e59-44e3-af0f-e201d5bc2ff4,aab730c8-e80a-47e8-912d-8c72d4eaa903
5394e6e5-3eea-4691-bf27-09321d56bb90,11ff8c17-89ec-4bd4-99b7-5385cebb10c0
cb2861f0-490e-470b-844c-0fd3bc7a3765,5699fb21-27a4-4f08-9d97-8e4cfd1ee0d2
cc57504e-067e-45f7-9503-f380d1f9e193,52393af0-0494-435c-8f27-8f46c17cd650
fc9fa984-ec61-4ca2-a8ac-f1744cf09819,2ae000ee-a497-4af9-9380-62165462006f
cb2861f0-490e-470b-844c-0fd3bc7a3765,6025d107-bca9-4f34-a58b-a0e6360bcb7d
52393af0-0494-435c-8f27-8f46c17cd650,05ef0d14-f564-4b56-891c-7f19beb878fc
4d292ca9-e2dc-4820-80be-486283460bf2,05ef0d14-f564-4b56-891c-7f19beb878fc
5699fb21-27a4-4f08-9d97-8e4cfd1ee0d2,6aa6d910-f550-4cc0-94e3-d891d900f4c6
6025d107-bca9-4f34-a58b-a0e6360bcb7d,6aa6d910-f550-4cc0-94e3-d891d900f4c6
5394e6e5-3eea-4691-bf27-09321d56bb90,97f7c3ac-daac-40af-9b8b-ce015282da9b
2ae000ee-a497-4af9-9380-62165462006f,da6dba9e-33ec-4e9c-a8e0-705a9fa8c85a
e35b72f0-e66c-4882-a87b-fc58ac187d96,da6dba9e-33ec-4e9c-a8e0-705a9fa8c85a
11ff8c17-89ec-4bd4-99b7-5385cebb10c0,d7fee4ff-6a20-4def-b6c2-3959b90747f5
97f7c3ac-daac-40af-9b8b-ce015282da9b,d7fee4ff-6a20-4def-b6c2-3959b90747f5
fc9fa984-ec61-4ca2-a8ac-f1744cf09819,8218c882-c297-4209-9f87-d8b4eb3fc948
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,8218c882-c297-4209-9f87-d8b4eb3fc948
fc9fa984-ec61-4ca2-a8ac-f1744cf09819,068e2b78-ba85-4100-bdb5-42cf84a59f21
f11aba61-f703-452e-ba27-da43bab2a8b4,8745738a-7b68-42b1-90f8-d8540ddd5f64
628cfdc9-162a-4637-8ff7-e4a2c6ea2576,b9ef311d-a3aa-4eee-9268-7a9acbac81a9
628cfdc9-162a-4637-8ff7-e4a2c6ea2576,b042c34b-b940-4997-80f3-247471f95e3b
b9ef311d-a3aa-4eee-9268-7a9acbac81a9,b042c34b-b940-4997-80f3-247471f95e3b
b042c34b-b940-4997-80f3-247471f95e3b,6d3e7dfa-2c98-4787-b2a4-55fa29a0c972
b9ef311d-a3aa-4eee-9268-7a9acbac81a9,6d3e7dfa-2c98-4787-b2a4-55fa29a0c972
628cfdc9-162a-4637-8ff7-e4a2c6ea2576,9edd5c82-a8c7-4531-aba5-14675d3145ba
628cfdc9-162a-4637-8ff7-e4a2c6ea2576,e27ab8e7-4440-47c3-bd33-2a6638c7f7d9
9edd5c82-a8c7-4531-aba5-14675d3145ba,afa88095-7cda-4827-ac87-3b39b1f67d18
e27ab8e7-4440-47c3-bd33-2a6638c7f7d9,afa88095-7cda-4827-ac87-3b39b1f67d18
afa88095-7cda-4827-ac87-3b39b1f67d18,79d10381-88a9-4dd6-a134-bdd4e4d090de
e27ab8e7-4440-47c3-bd33-2a6638c7f7d9,79d10381-88a9-4dd6-a134-bdd4e4d090de
8ea88f07-b298-40fa-9d36-6f50b083d53a,15290b17-9c9f-477a-a741-8b80f2ae6908
15290b17-9c9f-477a-a741-8b80f2ae6908,003d393b-6ea1-4595-8229-040a68c55365
15290b17-9c9f-477a-a741-8b80f2ae6908,86d97262-5631-4bdf-b898-42c8436253b2
003d393b-6ea1-4595-8229-040a68c55365,86d97262-5631-4bdf-b898-42c8436253b2
2521754f-a264-416f-ad63-77ccd1049551,c79713d7-495d-4b3c-955f-276d74be5953
61e3bb2c-5b38-46ec-818c-3e27d07aa85b,c79713d7-495d-4b3c-955f-276d74be5953
8ea88f07-b298-40fa-9d36-6f50b083d53a,87c71f1e-6e80-4327-a666-2e7c20d15992
87c71f1e-6e80-4327-a666-2e7c20d15992,a735b5b9-71d0-4fba-9b21-f7774ac34a40
87c71f1e-6e80-4327-a666-2e7c20d15992,5880062a-9875-4af2-ab9c-ff82c9ffffd0
a735b5b9-71d0-4fba-9b21-f7774ac34a40,5880062a-9875-4af2-ab9c-ff82c9ffffd0
5880062a-9875-4af2-ab9c-ff82c9ffffd0,0084c2bb-90fe-409c-8565-d56c800de2ad
a735b5b9-71d0-4fba-9b21-f7774ac34a40,0084c2bb-90fe-409c-8565-d56c800de2ad
8ea88f07-b298-40fa-9d36-6f50b083d53a,a2ef3839-5c2e-4a64-a60e-4d20e0b491eb
a2ef3839-5c2e-4a64-a60e-4d20e0b491eb,c2318c9f-5eaa-491b-a643-a2fc50c83bc9
a2ef3839-5c2e-4a64-a60e-4d20e0b491eb,99a985c4-b365-41a9-aa6c-c43f914835a7
c2318c9f-5eaa-491b-a643-a2fc50c83bc9,99a985c4-b365-41a9-aa6c-c43f914835a7
99a985c4-b365-41a9-aa6c-c43f914835a7,eb23ebe0-f815-4422-9cc3-552e16d708ea
c2318c9f-5eaa-491b-a643-a2fc50c83bc9,eb23ebe0-f815-4422-9cc3-552e16d708ea
19e63c02-0680-41ad-877b-0cf27201a95a,51a7b19a-9401-4ed3-a7f2-194934fbaf07
51a7b19a-9401-4ed3-a7f2-194934fbaf07,ef10ade3-5204-460b-bf61-b3e13f23afa9
19e63c02-0680-41ad-877b-0cf27201a95a,ef10ade3-5204-460b-bf61-b3e13f23afa9
19e63c02-0680-41ad-877b-0cf27201a95a,6bc3f3b8-398b-4db1-8d3b-47a4e984429b
6bc3f3b8-398b-4db1-8d3b-47a4e984429b,5f4a448c-abaa-4507-aab0-f5f5a20c89a2
6bc3f3b8-398b-4db1-8d3b-47a4e984429b,c346e565-14e2-4c86-af5b-cde71472e64e
5f4a448c-abaa-4507-aab0-f5f5a20c89a2,c346e565-14e2-4c86-af5b-cde71472e64e
c346e565-14e2-4c86-af5b-cde71472e64e,68517756-135b-4098-a1ba-928bf0c45ab1
5f4a448c-abaa-4507-aab0-f5f5a20c89a2,68517756-135b-4098-a1ba-928bf0c45ab1
6bc3f3b8-398b-4db1-8d3b-47a4e984429b,a5d5ac25-ba32-4073-bdb7-08ec322d18df
51a7b19a-9401-4ed3-a7f2-194934fbaf07,2e04a17e-0a79-4483-8ebb-279c30b41171
51a7b19a-9401-4ed3-a7f2-194934fbaf07,d0b5089d-56ee-4f48-811a-c5b8115104de
2e04a17e-0a79-4483-8ebb-279c30b41171,d0b5089d-56ee-4f48-811a-c5b8115104de
d0b5089d-56ee-4f48-811a-c5b8115104de,30d04f04-18ff-493a-bba5-281c0095061f
2e04a17e-0a79-4483-8ebb-279c30b41171,30d04f04-18ff-493a-bba5-281c0095061f
51a7b19a-9401-4ed3-a7f2-194934fbaf07,4851fd0e-1f23-45af-8b58-e77f46f0dbbc
19e63c02-0680-41ad-877b-0cf27201a95a,b8462f79-4655-4366-a85d-4b680b84c1cc
b8462f79-4655-4366-a85d-4b680b84c1cc,23cb2120-3ecd-4a18-8efd-2b67a507446f
19e63c02-0680-41ad-877b-0cf27201a95a,23cb2120-3ecd-4a18-8efd-2b67a507446f
b8462f79-4655-4366-a85d-4b680b84c1cc,ca234d80-b77f-478c-8600-18ff25b113d1
b8462f79-4655-4366-a85d-4b680b84c1cc,d49e35fc-2273-4487-997a-934de54db296
ca234d80-b77f-478c-8600-18ff25b113d1,d49e35fc-2273-4487-997a-934de54db296
d49e35fc-2273-4487-997a-934de54db296,6e396cbe-97b8-44bc-8749-180a98fd0363
ca234d80-b77f-478c-8600-18ff25b113d1,6e396cbe-97b8-44bc-8749-180a98fd0363
19e63c02-0680-41ad-877b-0cf27201a95a,a708b266-0973-42da-82ac-7ecc19ce745f
19e63c02-0680-41ad-877b-0cf27201a95a,6f1afe00-9ea0-40d9-9494-1e6ee18398f0
19e63c02-0680-41ad-877b-0cf27201a95a,8dafe2fd-a14c-4fa8-b96c-e9ce3c51f150
67745697-c7ae-424e-b087-ed6a99ff3654,8dafe2fd-a14c-4fa8-b96c-e9ce3c51f150
19e63c02-0680-41ad-877b-0cf27201a95a,53a440ee-06d4-4aaf-82c3-e5ac4962b18d
6f1afe00-9ea0-40d9-9494-1e6ee18398f0,53a440ee-06d4-4aaf-82c3-e5ac4962b18d
53a440ee-06d4-4aaf-82c3-e5ac4962b18d,cc8fe49e-4be1-4694-8a85-7c2805e7ba83
6f1afe00-9ea0-40d9-9494-1e6ee18398f0,cc8fe49e-4be1-4694-8a85-7c2805e7ba83
19e63c02-0680-41ad-877b-0cf27201a95a,e234adf2-e197-4e47-8bcd-9493c3a235ab
44a01ab6-8f10-4b40-94de-25da9f1ffa42,10b72919-72e6-4b9e-8dff-acfd1e0ee04d
44a01ab6-8f10-4b40-94de-25da9f1ffa42,5f07fba4-df5a-4e70-b7b4-21310b1b54af
10b72919-72e6-4b9e-8dff-acfd1e0ee04d,5f07fba4-df5a-4e70-b7b4-21310b1b54af
5f07fba4-df5a-4e70-b7b4-21310b1b54af,5956d230-cef0-4262-8253-fd73ca4a700e
10b72919-72e6-4b9e-8dff-acfd1e0ee04d,5956d230-cef0-4262-8253-fd73ca4a700e
